Airport,UniqueCarrier,Airline,Status,Delay (in min),Flight Counts,Delay Counts,Average Delay (in min),Delay Frequency (%)
ORD,OO,SkyWest Airlines Inc.,Departure,645836,46316,18350,35.19542234,39.61913809
ORD,UA,United Airlines Inc.,Departure,1701428,88687,45370,37.50116817,51.15744134
ORD,US,US Airways Inc.,Departure,103453,7607,3079,33.59954531,40.47587748
ORD,XE,ExpressJet Airlines Inc.,Departure,36364,1736,725,50.15724138,41.76267281
ORD,YV,Mesa Airlines Inc.,Departure,592264,25897,11144,53.14644652,43.03201143
PHX,AA,American Airlines Inc.,Departure,54241,5856,2035,26.65405405,34.75068306
PHX,AS,Alaska Airlines Inc.,Departure,23145,3252,1221,18.95577396,37.54612546
PHX,B6,JetBlue Airways,Departure,12472,656,258,48.34108527,39.32926829
PHX,CO,Continental Airlines Inc.,Departure,41370,4130,2216,18.66877256,53.65617433
PHX,DL,Delta Airlines Inc.,Departure,16374,4123,1042,15.71401152,25.27285957
PHX,F9,Frontier Airlines Inc.,Departure,10524,2085,785,13.40636943,37.6498801
PHX,FL,AirTran Airways Co.,Departure,2740,1315,305,8.983606557,23.19391635
PHX,HA,Hawaiian Airlines Inc.,Departure,-139,366,64,-2.171875,17.4863388
PHX,NW,Northwest Airlines Inc.,Departure,15383,3582,904,17.01659292,25.2372976
PHX,OO,SkyWest Airlines Inc.,Departure,10211,2892,842,12.12707838,29.11479945
PHX,UA,United Airlines Inc.,Departure,59212,5369,2129,27.81211837,39.65356677
PHX,US,US Airways Inc.,Departure,477904,63472,24843,19.23696816,39.14009327
PHX,WN,Southwest Airlines Co.,Departure,722277,68827,38509,18.75605703,55.95042643
PHX,XE,ExpressJet Airlines Inc.,Departure,8922,1431,525,16.99428571,36.68763103
PHX,YV,Mesa Airlines Inc.,Departure,184004,32052,7237,25.42545254,22.57893423
SEA,AA,American Airlines Inc.,Departure,76624,5441,2517,30.44259039,46.2598787
SEA,AS,Alaska Airlines Inc.,Departure,335759,48134,19304,17.39323456,40.10470769
SEA,B6,JetBlue Airways,Departure,12803,1518,477,26.84067086,31.4229249
SEA,CO,Continental Airlines Inc.,Departure,62685,4641,2624,23.88910061,56.53953889
SEA,DL,Delta Airlines Inc.,Departure,32029,5375,1841,17.39760999,34.25116279
SEA,F9,Frontier Airlines Inc.,Departure,9722,1498,666,14.5975976,44.45927904
SEA,FL,AirTran Airways Co.,Departure,9293,898,406,22.88916256,45.21158129
SEA,HA,Hawaiian Airlines Inc.,Departure,4905,918,262,18.72137405,28.54030501
SEA,NW,Northwest Airlines Inc.,Departure,45127,5007,1854,24.3403452,37.02816058
SEA,OO,SkyWest Airlines Inc.,Departure,13337,5082,1305,10.21992337,25.67886659
SEA,UA,United Airlines Inc.,Departure,117863,8944,3926,30.02114111,43.89534884
SEA,US,US Airways Inc.,Departure,28328,3982,1350,20.9837037,33.90256153
SEA,WN,Southwest Airlines Co.,Departure,171630,16775,9211,18.63315601,54.90909091
SEA,XE,ExpressJet Airlines Inc.,Departure,8111,856,419,19.35799523,48.94859813
SFO,AA,American Airlines Inc.,Departure,207146,12008,5272,39.29172989,43.90406396
SFO,AS,Alaska Airlines Inc.,Departure,74502,5062,2105,35.39287411,41.58435401
SFO,B6,JetBlue Airways,Departure,29780,1923,766,38.8772846,39.83359334
SFO,CO,Continental Airlines Inc.,Departure,62619,4801,2489,25.1582965,51.84336597
SFO,DL,Delta Airlines Inc.,Departure,30106,4575,1638,18.37973138,35.80327869
SFO,F9,Frontier Airlines Inc.,Departure,13877,1686,671,20.68107303,39.79833926
SFO,FL,AirTran Airways Co.,Departure,11885,951,408,29.12990196,42.9022082
SFO,HA,Hawaiian Airlines Inc.,Departure,7584,366,200,37.92,54.64480874
SFO,MQ,Envoy Air,Departure,8201,1742,469,17.48614072,26.92307692
SFO,NW,Northwest Airlines Inc.,Departure,15648,3827,873,17.92439863,22.81160178
SFO,OO,SkyWest Airlines Inc.,Departure,563111,39027,16166,34.83304466,41.42260486
SFO,UA,United Airlines Inc.,Departure,603063,43736,18942,31.83734558,43.30985915
SFO,US,US Airways Inc.,Departure,41611,7112,2328,17.87414089,32.73340832
SFO,WN,Southwest Airlines Co.,Departure,164058,12568,5554,29.53871084,44.19159771
SFO,XE,ExpressJet Airlines Inc.,Departure,10733,1203,319,33.64576803,26.51704073
SLC,9E,Endeavor Air Inc.,Departure,221,6,3,73.66666667,50
SLC,AA,American Airlines Inc.,Departure,22827,2504,719,31.74826147,28.71405751
SLC,B6,JetBlue Airways,Departure,13783,2191,619,22.26655897,28.25193975
SLC,CO,Continental Airlines Inc.,Departure,8258,896,318,25.96855346,35.49107143
SLC,DL,Delta Airlines Inc.,Departure,143150,27764,9080,15.7654185,32.70422129
SLC,F9,Frontier Airlines Inc.,Departure,15194,2296,900,16.88222222,39.19860627
SLC,NW,Northwest Airlines Inc.,Departure,-1593,1089,129,-12.34883721,11.84573003
SLC,OO,SkyWest Airlines Inc.,Departure,293369,76513,21523,13.63048831,28.12986029
SLC,UA,United Airlines Inc.,Departure,29603,2090,874,33.87070938,41.81818182
SLC,US,US Airways Inc.,Departure,1374,1814,363,3.785123967,20.01102536
SLC,WN,Southwest Airlines Co.,Departure,164606,17578,8687,18.9485438,49.41972921
SLC,XE,ExpressJet Airlines Inc.,Departure,27413,3747,1354,20.24593796,36.13557513
SLC,YV,Mesa Airlines Inc.,Departure,889,600,100,8.89,16.66666667
ATL,9E,Endeavor Air Inc.,Arrival,86586,7604,3762,23.01594896,49.47396107
ATL,AA,American Airlines Inc.,Arrival,104439,8197,4121,25.3431206,50.27449067
ATL,CO,Continental Airlines Inc.,Arrival,59113,4294,2252,26.2491119,52.44527247
ATL,DL,Delta Airlines Inc.,Arrival,1216266,151240,68735,17.69500255,45.4476329
ATL,EV,ExpressJet Airlines Inc.,Arrival,1456460,128670,58037,25.09537019,45.10530815
ATL,F9,Frontier Airlines Inc.,Arrival,8591,1350,680,12.63382353,50.37037037
ATL,FL,AirTran Airways Co.,Arrival,697150,87085,36450,19.12620027,41.85565826
ATL,MQ,Envoy Air,Arrival,11051,691,340,32.50294118,49.2040521
ATL,NW,Northwest Airlines Inc.,Arrival,37916,3513,1840,20.60652174,52.37688585
ATL,OH,PSA Airlines Inc.,Arrival,152237,7056,4521,33.67330237,64.07312925
ATL,OO,SkyWest Airlines Inc.,Arrival,42271,4536,2047,20.65021983,45.12786596
ATL,UA,United Airlines Inc.,Arrival,31267,2551,1120,27.91696429,43.90435123
ATL,US,US Airways Inc.,Arrival,6594,3518,1262,5.22503962,35.87265492
ATL,XE,ExpressJet Airlines Inc.,Arrival,26042,1701,802,32.4713217,47.14873604
ATL,YV,Mesa Airlines Inc.,Arrival,39846,2515,1274,31.27629513,50.65606362
BOS,9E,Endeavor Air Inc.,Arrival,4871,1206,367,13.27247956,30.43117745
BOS,AA,American Airlines Inc.,Arrival,159344,12610,5916,26.93441515,46.91514671
BOS,AS,Alaska Airlines Inc.,Arrival,597,985,373,1.600536193,37.8680203
BOS,B6,JetBlue Airways,Arrival,195797,18860,7507,26.08192354,39.8038176
BOS,CO,Continental Airlines Inc.,Arrival,97102,6474,3296,29.46055825,50.91133766
BOS,DL,Delta Airlines Inc.,Arrival,88013,14541,6072,14.4948946,41.75778832
